"WHAT"	what
POSS-1p FRIEND SAY FINE INFORM COP SAY KNOW IX-3p SMOKE CIGARETTE 	My friend said fine and informed cop that I was smoking the cigarette.
fs-JOHN CHOCOLATE NOT LIKE (25)WHY part:indef 	Why doesn't John like chocolate?
REALLY ONE "eee" ONE WOMAN IX-3p RIDE WITH IX-3p-arc 	One woman who was riding with us.
IX-3p:i COUGH++ THINK MAYBE MUST DO fs-CPR ON IX-3p:i 	She was coughing occasionally and I thought maybe I will have to do CPR on her.
MOTHER BUY CAR  GIFT:j fs-JOHN 	Mother bought a car and gave it to John.
cl:1 "list" IX-2p UNKNOWN IX-2p SHOWER MUST USE PLASTIC fs-BAG cl:s "putting the object on" 	Second, when you take shower, you will need to put your hand in plastic bag.
PERFECT BUT IN ns-LA IX-loc:i FALL STILL LOOK SAME SUMMER REALLY STILL HOT STILL fs-VERY HOT part:indef 	It is perfect, but fall season in LA, it still looks same as summer season.  It is still very hot.
IX-3p-arc ROOMMATE PAST SEVEN YEAR IX-3p:i LAUGH GOOD TIME IX-1p 	We, the roommates seven years ago, were laughing and had a good time.
REALLY IX-1p BUY CIGARETTE FINISH CL:5"putting the object away" CL:1"person walking across" 	I bought cigarette and walked back.
"wow" IX-3p:i MOTORCYCLE #SO IX-1p DECIDE IX-1p part:indef IX-1p FEEL fs-CARE ABOUT IX-3p:i IX-1p DECIDE SEND fs-EMAIL 	It was amazing so I decided to email him because I care for him.
IX-3p:v FATHER DECIDE MOVE-AWAY ns-CALIFORNIA 	My father decided to move to California.
fs-JOHN FINISH READ+ BOOK+ 	John finished reading the book.
SIT UNKNOWN RELAX "sign" 	We sat in and felt relax.  SIGH.
CL:2"walking to person" WHEN REALLY NEAR #TO IX-1p 	Two cops walked toward to me.  When they came to really close to me
NEXT fs-DAY NAH WAKE-UP 	Next day, I woke up.
IX-3p:i COP TELL FRIEND SAY MAKE SURE IX-2p LOOK IX-3p:i OVER-NIGHT 	The cop told my friend, "make sure you will watch him overnight."
IX-3p:i fs-JOHN READ+ BOOK IX-3p:i SAY IX-3p:j (1h)"WHAT" ABOUT IX-3p:i 	John was reading that book, what did he say it is about?
NEXT AIRPLANE IX-loc:h h:SCL:I-L-Y"airplane lands":i AFTERNOON 	"The next flight from New York comes in this afternoon."
SOME POSS-1p FRIEND IX-3p:i TRUE-BUSINESS 	Some of my friends were surprised.
fs-JOHN POSS-3p:i CAR NEVER SEE IX-1p 	As for John's car, I've never seen (it).
IX-1p UNKNOWN WATER cl:4 "running" WASH UNKNOWN LEAVE IX-3p CAN-NOT USE IX-3p:i IX-1p part:indef 	While water running, I had to leave my arm out since I could not use it.
(2h)alt.FANCY++ (5)WOW 	It was really something!
IMPACT ONE BIG fs-LOG cl:5 "size of the object" IX-1p cl:5 "picking up the object" cl:5 "dropping the object" 	There was one big log that I picked up but then I dropped it.
BUT part:indef SAME IX-1p part:indef IX-3p:i SAY BETTER DOWN #X-RAY 	He told me to go downstair for x-ray.
MAYBE HEARING IX-1p STILL LOVE SAME NAH 	Or maybe hearing? I will still love the same.
REPORTER REALLY SCARE "ahhh" fs-MUHAMMAD fs-ALI IX-1p TEASE++ NOT WORRY UNKNOWN 	The reporter was really scared and screamed.  Muhammad Ali grabbed him, and said, "I am teasing, dont worry!"
IX-3p:i fs-JOHN READ++ FINISH IX-3p:i 	John finished reading.
MAYBE IX-1p CAN JUST NAH INFORM SAY SORRY IX-1p part:indef BATHROOM IN PUBLIC part:indef 	Maybe I can just let them know that I am sorry for bathroom in the public.
TEACHER LIKE MOVIE IX-3p:i STUDENT NOT LIKE 	The teacher liked the movie but the student didn't.
FINE IX-1p SMALL YOUNG NOT REMEMBER #BUT 	I couldn't remember anything because I was too young.
BLOOD++ REALLY part:indef 	I showed my hand and it was bleeding.
part:indef SHOW ON VIDEOTAPE IX-3p:i NOT WIN NO BUT part:indef 	It was showing on the videotape, he didn't win though.
cl:1 "walking back" SHOWER WASH FEEL GOOD 	I walked back in the shower and washed.  I felt good. 
"hey" FUNNY HAPPEN 	A funny thing happened.
ICL:S"holding carrier from top" WOMAN KNOW+ IX-3p:t NOT POSS-1p #DOG "palms up" 	The woman responded by saying, "I know, but that is not my dog!"
IX-1p LOOK part:indef NAH IX-1p IGNORE 	I looked.  Then I decided to ignore about it.
MOTHER NOT BUY HOUSE 	Mother is not buying a house.
fs-SUE BUY IX-3p:i CAR BLUE 	Sue bought/is buying the blue car.
fs-JOHN SHOULD GO SHOULD++ 	John should go, he should.
part:indef BUT IX-1p HOPE DEAF SAME HOPE part:indef 	But I hope for Deaf too.
part:indef IN ns-LA DO THAT NO NOT-CARE FUTURE cl:3 "car driving pass by another car" 	But in LA, they didnt do that, they dont care and would just drive pass by.
DEAF HEAR part:indef 	Deaf person said," I can't hear."
IX-1p NEVER SEE fs-JOHN POSS-3p:j CAR part:indef 	I've never seen John's car.
TEACHER LIKE READ+ IX-3p:i (Y)NOT-LIKE MOVIE 	The teacher likes to read but he/she doesn't like movies.
fs-JOHN LIKE CAR AND BOOK part:indef 	John likes cars and books.
IX-3p:i KISS-FIST READ+ ABOUT #CAR READ+++ 	He loves to read about cars.
fs-SUE BUY IX-3p:i CAR BLUE 	Sue is buying that blue car.
ICL:S"holding carrier from the top" 	"But he has white fur with black stripes!".
IX-1p part:indef FEW TIME IN ns-LA IX-1p cl:5 "go ahead" IX-1p NOT-KNOW IX-3p:i cl:3"car passing by" IX-1p "wave" IX-2p:i WELCOME TOO DRIVE part:indef 	Happened to me few times in LA, while I was driving, I said go ahead since I didnt know what they are like.  I expected them to say thank you but they ignored instead, I thought you are welcome but forget it.
FATHER LIKE THAT BOOK FUTURE QMwg 	As for father liking that book, will he?
IX-1p START CL:3"sitting on"++ IX-3p:i part:indef 	We started to sit down.
GRANDMOTHER IX-3p:x ns-YUGOSLAVIA 	Her grandmother was Yugoslavian.
TEACHER NOT IN HOUSE IX-loc:i 	The teacher is not in (that) house there.
PLUS DCL:"pet carrier" DOOR #DOG THROW-IN CLOSE-DOOR ICL:S"place carrier" GET-IN AIRPLANE b:SCL:I-L-Y"airplane flying":a ARRIVE 	 She also had a pet carrier for her dog.  So she flew from New York to here.  When she arrived
fs-JOHN NOW i:GIVE:j CHOCOLATE MOTHERwg IX-3p:j 	John is right now giving chocolate to mother.
IX:i BOOK POSS:j 	That book is his/hers.
fs-JOHN BOOK READ+ FINISH IX-3p:i 	As for John reading the book, he already did.
IX-1p NEVER SEE fs-JOHN POSS-3p:i CAR NEVER 	I've never seen John's car.
fs-JOHN POSS-3p:i CAR NEVER SEE IX-1p 	It's John's car I've never seen.
part:indef GRASS IX-loc:i LITTLE-BIT BROWN part:indef OF-COURSE TOO MUCH fs-SUN SUN NONE ENOUGH RAIN TO FEED+ FLOWER PLANT++ 	The grass is a little bit brownish because of too much sun, not enough rain to feed the flowers and plants.
SPRING++ IX-1p ADMIT ONE NEGATIVE ABOUT IX-loc:i fs-BOSTON SPRING++ REALLY ALOT RAIN 	I have to admit that during spring time in Boston, there is a lot of raining.
fs-JOHN NOT-LIKE CHOCOLATE (Y)WHY 	Why doesn't John like chocolate?
SUNSET LIGHTING RAIN++ 	There is a sunset.  It start to rain and lighting.
UNDERSTAND TWO POSS-3p:i fs-DOOR ANOTHER fs-DOOR CL:5"location of the object" 	There is two doors, one on left side and another one on right side.
#SO AFTER THAT IX-1p part:indef IX-1p WISH IX-1p CAN TELL POSS-1p GRANDFATHER THAT STORY 	So, after that, I wish I could tell my grandfather about that story.
fs-DANA UNKNOWN FIND fs-OUT IX-1p BOY IX-3p:i ACCEPT 	When Dana found out that I was boy, she accepted. 
IX-1p THINK WEATHER NICE LITTLE-BIT RAIN REALLY NOTHING IX-3p WEAR LONG-SLEEVE 	I thought the weather was nice, a little rain but its nothing.  People wore long sleeves.
SAY "come on" MUST FINISH #ALL BEFORE SUNSET 	He would tell us to hurry up and finish everything before sunset.
POSS-1p FATHER IX-3p:v BORN IN ns-AMERICA 	My father was born in America
IX-3p:i STUDENT !LIKE! CHOCOLATE NOT LIKE READ+ BOOK 	The student likes chocolate but doesn't like to read books.
fs-JOHN BUY YESTERDAY "WHAT" BOOK+ 	What did John buy yesterday?  Books.
part:indef IX-1p DECIDE GO-AHEAD UNKNOWN DRIVE ARRIVE ns-COLORADO REALLY STAY SOON fs-TO OVER-NIGHT WAKE-UP fs-LATE WHY GRAB MISS SLEEP BEFORE NIGHT 	I decided to continue driving and arrived Colorado.  I really want to stay overnight soon, because I was awake late so why not grab some sleep that I missed the night before.
DIFFERENT+ DCL:"extensive food on table" DRINK BEER WINE (2h)alt.EAT++ (2h)alt.DRINK++ 	There were all kinds of foods, drinks, beer, and wine.  We kept eating and drinking.
fs-JOHN fs-LEG HURT 	John's leg hurts.  
FINALLY IX-3p:i ONE OLDER MAN IX-3p cl:1 "field" PLASTIC SURGERON cl:1 "person walking toward to us" 	Finally, an older man who is plastic surgeron came in.
UNKNOWN COMMUNICATE GESTURE UNKNOWN FINE UNKNOWN DRIVE++ 	We communicated each other through gesture while driving.
IN DO++ CLOSE ICL:S"closing the object" LOCK 	Got in and discuss what to do, then closed the window and locked.
fs-JOHN FINISH READ BOOK WHEN 	When did John finish reading the book?
MOTHER LIKE IX-3p:i BOOK 	Mother likes that book.
TEACHER LIKE MOVIE QMwg 	Does the teacher like movies?
POSS-3p:i NEW CAR BREAK-DOWN 	His/her new car broke down.
TREE part:indef IX-loc:i ns-LA COLD REALLY LITTLE-BIT cl:5 "lower" COOLER BUT STILL HOT cl:3 "quotation" 	In LA, it would get cooler a little bit,  but at same time it is still hot.
IX-3p SAY GIFT EXPLAIN SAY "no" IX-2p CAN-NOT GET WET 	He gave me the instruction and said "you can not get wet."
REALLY part:indef IX-1p FEEL part:indef 	Really, I felt
cl:3 "person fell off" SEPARATE SPRAIN KNEE fs-ANKLE FACE part:indef 	He fell and hurted his shoulder, sprained his knee and ankle, and also his face burnt.
part:indef IX-2p MAYBE WONDER WHY IX-1p NOT REPORT part:indef 	You probably wondering why I didn't report.
MOTHER SHOULD BUY CAR 	Should mother buy a car?
IX-1p TWO FRIEND IX-1p DECIDE DRIVE TO fs-BOSTON ns-BOSTON IX-1p 	My two friends joined and we decided to drive to Boston.
POSS-1p MOTHER POSS-3p:i MOTHER IX-3p:z IX-SECOND-IN-LIST 	My maternal grandmother was the second oldest of four children.
STUDENT READ+ VOMIT KISS-FIST CHOCOLATE part:indef 	The student doesn't like to read but loves chocolate.
fs-JOHN:i IX-3p:i THINK fs-MARY:j j:LOVE:i 	John thinks Mary loves (him).
PUBLIC THAT IX-1p TRUE-BUSINESS BATHROOM IN PUBLIC IX-1p part:indef NOT^WANT ON RECORD 	That I dont want to be on the record for bathroom in the public.
fs-JOHN FINISH VISIT fs-MARY 	John has visited Mary.
BOAT REALLY SLOW IX-1p UNKNOWN 	The boat was really slow.
OLD STORY DEAF GENERATION++ 	There is an old story from Deaf generation
TEACHER NOW IX-loc:i IN MOVIE 	The teacher is in the movie theatre.
IX-3p:f DCL:G"bill of cap" "wave" DCL:G"bill of cap" f:SCL:1"person approaching hurriedly":g 	She spotted the skycap and waved to him for help so he came over.
STUDENT BUY CAR YESTERDAY 	The student bought a car yesterday.
IX-3p:i MOTHERwg BOOK READ++ 	Mother is reading the book.
HERE ONLY GET GOOD SERVICE NOT PERCENT #OF TIME NO BUT TEND GOOD SERVICE FUTURE MAKE SURE FEEL COMFORTABLE "gesture" PERFECT 	In Boston, they have good service, well not 100 percent of time but normally did good which is perfect. 
MOTHER FUTURE BUY HOUSE 	WIll mother buy a house?  No.
!#DO! "pray" THINK IDEA WHAT 	At first he didn't know what to do, but then he had an idea.
(2h)ICL:"pick up dog" (2h)ICL:"set dog down" ICL:S"driving" ARRIVE 	He picked up the dog, put him in the car and drove back to the airport.  When he got there
SOME DCL:"group going together":i SLED+ SOME DCL:"group going together":j ICE-SKATE SOME DCL:"group going together":k fs-ICE FISHING++ 	Some people went sledding, some went ice skating, and some went ice fishing.
EIGHTY HIGHWAY AGAIN IX-1p LOOK 	Route 80 on the highway again. 
EVENING (P)PARTY DRESS-UP (2h)alt.FANCY+++ part:indef 	That evening there was a fancy-dress party.
PIG WOLF ARRIVE LOOK BCL:S"waiting" 	A Pig, I mean, Wolf arrived and stared at him.
NOT OPEN UNTIL MORNING IX-1p #ALL part:indef FINE WAIT+ FINALLY OPEN IX-1p FIX UNKNOWN 	It won't open til 9 or 10 in the morning.  We re like ok fine, and waiting for a while.  Then finally, mechanic open and fix the tire.
BCL:"picking person up" BCL:"putting person in the coffin" 	Picked person up and put in the coffin.
POSS-1p FRIEND LOOK SAY part:indef NO+ part:indef 	My friend looked at him and said "no!"
MOTHER NOT-WANT BUY HOUSE 	Mother does not want to buy a house.
TEACHER FINISH PAST IN HOUSE IX-loc:i QMwg 	Has the teacher been in the house before? 
IX-3p:i fs-JOHN CAR IX-1p NEVER SEE:neu IX-3p:i (1h)part:indef 	I have never seen John's car.
FATHER FUTURE LIKE THAT:i BOOK IX-loc:i QMwg 	Will father like that book?
BORN POSS-1p MOTHER AUNT UNCLE "topic change"(side) 	Then my mother, aunt, and uncle were born.  That is all for that side of the family.
fs-JOHN NOT VISIT fs-MARY 	John is not visiting Mary.
IX-3p:i MOTHERwg neu:GIVE:j fs-JOHN CHOCOLATE YESTERDAY 	Mother gave John chocolate yesterday.
STUDENT LIKE CHOCOLATE 	The student likes chocolate.
CL:4"tapping to person" POSS-1p MOTHER EVERYDAY UP-TO-NOW SAY IX-1p WANT DEAF SISTER 	She would tell her mother everyday that she wants a deaf sister.
AND POSS-1p MOTHER SAW WHOLE THING 	And my mother saw the whole thing.
SIREN (2h)CL:3"two vehicles pulling over" 	Siren came up and a cop pulled the car over.
IX-1p BCL:S"holding the stick" EXPECT FALL IX-1p BCL:S"holding the stick" 	I was holding the stick and expected to fall.
HOME LOOK SEE WHOLE THING part:indef 	Saw the whole thing.
STUDENT FUTURE BUY HOW-MANY CAR 	How many cars will the student buy?
HAVE DIFFERENT BUILDING cl:5 "many places" IX-1p GO-IN  IX-1p WAIT++ 	I went in one of few buildings and waiting. 
CITY REALLY IX-3p ADMIT IX-3p:j COPY+ fs-BOSTON A-LITTLE BUT UNKNOWN 	I admit that SF is copying Boston a little.
REALLY IX-1p SIT part:indef 	Really, I was sitting
GET-OUT IX-1p BPCL:1"stiff legs" (5)WOW IX-1p LIE-DOWN REST TIME-PASSING 	I got out.  My legs were very stiff.  Wow. I laid down to rest and took it easy.
#SO part:indef MUST EXPLAIN cl:5 "etc" EVERYTHING IX-1p FINE UNKNOWN 	He exlained everything and I said fine.
AIRPLANE SCL:I-L-Y"airplane take-off^fly" SCL:I-L-Y"airplane lands" ARRIVE TIME^7:45 	The airplane took off.  It landed at 7:45.
IX-3p:i TEACHER CAR BUY++ UP-TO-NOW 	Has the teacher been car shopping lately(all this time)?
fs-JOHN FINISH READ+ BOOK 	Has John finished reading the book?
NOT-KNOW IX-1p CAN-NOT OUT IX-1p HAVE EMERGENCY ANOTHER BUILDING #SO IX-1p NONE CHOICE 	I can't get out of here and I got emergency at another building, so I had no choice.
BOOK+ MOTHER BUY YESTERDAY FINISH 	It's a *book* that mother already bought yesterday.
IX-3p:j PIG IX-loc:j part:indef LAZY 	The next pig, he is not lazy.
FIND CL:5"location" LAND (2H)CL:5"location" SEEM AGREE IX-1p part:indef 	We finally found a land that we all agreed to have that location.
THAT BOOK+ fs-JOHN FINISH READ YESTERDAY 	That book, John finished reading it yesterday.
fs-JOHN READ+ BOOK 	John read a/the book.
UNKNOWN THAT MORNING UNKNOWN DRIVE FIND ONE HOTEL #BUT IX-3p HAVE fs-CASINO SAME 	In the morning, I drove and found one hotel but they have casino there too.
SAME IX-1p TIE UNKNOWN IX-1p CL:S"pressing the object"++ 	I was tying and then pressed the doorbell.
fs-DANA WATCH DEVIL fs-DANA IX-3p:i DEVIL GIRL PAST SAME IX-1p GROW-UP 	Dana was staring.. She was devil girl, same for me when we grew up.
TEACHER NOW IN IX-3p:i HOUSE IX-loc:i 	The teacher is in the house there right now.
FOOD REALLY THINK FIRST fs-SEAFOOD REALLY NONE COMPARE "throw hand" FIRST SECOND part:indef MEAT fs-FRESH "thumbs up" MORE TASTE ns-CALIFORNIA MEAT part:indef 	First of all, I think the seafood is nothing here compare to Boston.  Second, the meat is more tasteful than California's meat.
IX-1p part:indef THAT ONE "wow" NEGATIVE BUT ns-LA IX-loc:i NONE fs-SEWER SYSTEM 	That time I was like wow, its negative thing about LA.  In LA, they didn't have any sewer systems.
IX-3p:i FATHER IX-loc:i BUY BOOK IX-3p:i 	Father bought a book.
IX-3p:t BCL:"waiting" ICL:"put on collar" ICL:"fasten collar" 	He shook out the collar and then fastened it around the patiently waiting dog's neck.
part:indef IX-1p DRIVE THROUGH fs-WYMOING IX-1p THROUGH ns-NEB CL:B"across the land" part:indef REALLY BORE STATE CL:BENT B "land flat" COW UNKNOWN 	I drove through Wymoing and I went across the boring state of Neb.  There was plain, full of cows and etc.
MOTHER FINISH neu:GIVE:j fs-JOHN CHOCOLATE QMwg 	Did mother already give John chocolate?
FATHER LIKE BOTH BOOK AND MOVIE 	Father likes both books and movies.
#SO IX-1p CAN FOLLOW BCL:S"rowing" 	So, I can follow the way how to rowing.
MOTHER BUY BOOK YESTERDAY 	Mother bought a book yesterday.
SOMETHING/ONE FIND/FIND-OUT BOOK part:indef 	Did someone find a book?
IX-3p:i fs-JOHN SEE WHO IX-3p:i WHO 	Who did John see, him, who?
COP "ohhh" POSS-1p MOTHER-FATHER DEAF 	Cop said, "ohh, my parents are Deaf."
IX-1p:i FIND SOMETHING/ONE:j  POSS-3p:j BOOK 	I found someone's book.
IX-3p:i POSS-3p:j fs-JOHN CAR 	That is John's car.
#TO MOST #OF IX-3p-arc IN ns-BOSTON ns-BOSTONIAN IX-3p-arc STILL HOT IN ns-LA part:indef STILL EVERYDAY 	Most bostonian who are in LA still feel like hot, its 70 to 75 degrees.
"um" BOOK TEACHER neu:GIVE:j STUDENT 	It's a book the teacher gave the student.
fs-JOHN neu:GIVE:j MOTHER CHOCOLATE 	John gave (his) mother chocolate.
fs-J FIND^#OUT TEST+ FINISH READ+++ BOOK++ 	Once John had found out that there is a test, he read the book.
fs-JOHN neu:GIVE-indef:j IX-loc:j SOMETHING/ONE WOMAN BOOK 	John gave a woman over there a book.
IX-3p:i fs-JOHN BUY MANY BOOK++ 	John bought many books.
ICL"opening the knob" BPCL:"kicking" BCL:"picking person up" 	A person was kicking the door to open it and pick dead person up.
IX-3p:i WOMAN HAVE BOOK 	That woman way over there has a book.
REALLY part:indef  IX-1p ALREADY SAME FOUR-THIRTY FIVE 	I arrived at two o'clock and it is already 4:30 to 5 o'clock.
#SO IX-1p CL:3"sitting down"+ part:indef READY 	So we sat down and get ready.
IX-3p:i fs-JOHN MANY BOOK BUY HOW-MANY part:indef 	Did John buy many books? How many did he buy?
BUT UNKNOWN REALLY SPIT++ WATER "gagging" 	But, she was gagging and spitting.
1p:CALL:p NONE 1p:CALL:q NONE:n NONE:p NONE:q 	He called store after store, but none had the right kind of dog.
WHICH BOOK+ STUDENT FINISH GIFT:j TEACHER "WHAT" 	Which book has the student given to the teacher?
fs-JOHN fs-MARY IX-3p:i LOVE IX-3p:j 	You know John, he loves Mary.
BUILD HOUSE part:indef TREE CUT++ 	Cut the tree to build a house.
REALLY END #UP ARREST FOR THAT part:indef 	Really, I ended up got arrest for that?
SUN STILL BUT NIGHT part:indef LITTLE-BIT MORE COOLER UNKNOWN part:indef 	The sun was still there, but during night time, its a little cooler.
IX+-3p:i fs-FREDA fs-NORMAN 	Freda Norman, 
part:indef CL:1"person walking down" OUT 	Walked down and got out.
fs-JOHN BUY MOTHER CAR NOT 	Did John buy mother's car? No, he did not.
fs-JOHN i:BLAME:j 	John blames (him/her).
IX-1p WAKE-UP CRY+ 	I woke up and cried.
MEET MOTHER IX-3p-pl-2:i/v TOGETHER FOUR^YEAR MARRY 	He met my mother, they dated for four years, then got married.
fs-JOHN READ BOOK ABOUT "WHAT" 	What is John reading a book about? 
IX-1p SLEEP IN fs-CRIB CL:4"size of the object" 	I was sleeping in the crib.
DRIVE IX-1p SLOW DRIVE 	I was driving slow.
fs-JOHN SHOULD^NOT BUY HOUSE 	John shouldn't buy a house.
TEACHER FINISH READ MAGAZINE !NOW! READ BOOK+ 	The teacher finished reading the magazine and is now reading a book.
WHO fs-JOHN LOVE WHO 	Who, who does John love?
SAME IX-3p:i SCARE REPORTER CL:1"listing" part:indef IX-3p:i WIFE GREAT IX-3p:i REALLY "wow" 	He scared the reporter, and his wife was great. Wow.
STUDENT POSS-3p:i MOTHER BUY CAR 	The student's mother bought a car.
POSS-1p FRIEND DECIDE a:SCL:I-L-Y"airplane flying":b ns-NEW-YORK (2h)STAY:b ONE-WEEK (2h)alt.VISIT++:b 	My friend decided to fly to New York for a week's visit.
IX-1p SURE IX-2p NOTICE IX-3p:i WHAT IX-3p:i 	I am sure you noticed and wondering what happened to my hand.
PULL REALLY ONE GIRL READY GO HOME 	While they pulled me, one girl was ready to go home.
IX-1p CALL #IT fs-DAY FINISH CL:3"pulling over" 	I called it the day.  We finished and pulled over.
SAY PUMP fs-OUT POSS-3p:i STOMACH part:indef 	Will pump out of his stomach.
STUDENT IX-loc:i MOTHER FUTURE BUY CAR 	The student's mother will buy him a car, I'm sure.
SAY EXPLAIN "wow" IX-3p:i LUCKY NOT CUT MORE CUT #SO IX-1p LOSE cl:5 "object felling off" IX-1p LOOK "relief" 	He said that I am very lucky not to get cut that deep or else I would lose my finger. I thought whew.
IX-3p:i SAY MAKE SURE NOT fs-PEE IN PUBLIC AGAIN SAME 	He said, "make sure not to pee in the public again!" Then he left.
POSS-3p:i #EX CAR 	That is his/her old car.
POSS-1p SISTER SAY NO FEEL IX-1p FUTURE GET DEAF SISTER 	My sister said "No, I got the feeling that I will get Deaf sister."
fs-DANA JUMP++ EXCITED+ 	Dana was jumping around and got excited.
WOLF ARRIVE 	Wolf arrived.
OF-COURSE fs-VERY UPSET 	Of course, I was very upset.
IX-1p STAY FOR OTHER THREE HOUR WHEN fs-FIX IX-3p ENGINE fs-BELT CL:1"circle shape" PLUS PLUS #OIL CHANGE IX-3p-arc WAIT+ ALL-DAY FINALLY LEAVE ns-NEV ON 	We stayed for another three hours while they were fixing belt in the engine, tire and plus oil changing.  I waited all day and finally left Nev. at 12.
SICK TEND SHAKE SOMETIME NOT ATTENTION HAVE HARD TIME FOCUS 	He tend to shaking sometime, that he have hard time to focus on things.
WHO WRITE+ fs-RICO-PETERSON 	written by Rico Peterson,
IX-1p BCL:S"grabbing person"++ 	I had to grab all people.
BUT ANYWAY fs-DANA DECIDE GET fs-POTS AND fs-PANS CL:5"getting the objects" 	But anyway, Dana decided to get pots and pans.
IX-3p:i fs-JOHN MOTHERwg IX-loc:j HOUSE BUY IX-3p:i 	It's John's mother? she's buying A HOUSE?
IX-1p LOOK IX-3p:i CURVE 	I saw there is a road off from the highway.
IX-1p CL:S"fixing the object" DISCONNECT fs-ROPE DISCONNECT IX-1p UNKNOWN 	I fixed the rope and got it deattached.
#IF TEACHER REQUIRE fs-JOHN FUTURE READ BOOK     	If the teacher requires it, then John will read a book.
IX-3p:i SCREAM POSS-1p NAME IN POSS-1p EAR SCREAM 	She was screaming for my name in my ear. 
#ALL WATER FUTURE FLOOD CAN IF TRUE-BITS IX-1p-arc RAIN TOTAL HERE cl:1 "all the year" BRING GIFT TO ns-LA 	If the total of Boston's rain all the year brings to LA area, they would get flood.
IX-1p CL:3"vehicle" part:indef 	I am not sure which way.
MOTHER NOT LIKE MOVIE IX-3p:i 	Mother does not like the movie.
DEAF part:indef (2h)CL:3"two vehicles pulling over" 	Deaf person said its not a problem, and they pulled over.
IN FOUR-DAY REALLY AWFUL MUST DRIVE FIFTEEN part:indef FIFTEEN fs-HOURS fs-A fs-DAY ARRIVE FOR SURE RIGHT fs-PACE PROCESS++ UNKNOWN 	In four days to drive would take fifteen hours a day in right pace to arrive on time.  
MOTHER BUY CAR FOR fs-JOHN #NO 	Did mother buy a car for John? No, she did not.
MOTHER LIKE IX-3p:i MOVIE 	Mother likes the movie.
fs-JOHN FUTURE NOT BUY HOUSE 	John, in the future, is not buying a house.
THREE PIG CL:5"the height of person" (2h)#OK LEAVE 	Three pigs said ok and then left.
IX-3p:i FUTURE WASTE IX-3p:i TIME CL:5"two people talking" 	"You will waste your time!" They were talking back and forth.
IX-3p:i IX-1p part:indef IX-1p THINK CAN BANDAGE cl:5 "holding" HOLD cl:2 "quotation" PRESSURE ON #IT cl:5 "holding" FUTURE-NOT BLOOD MORE 	I thought maybe I could just put bandage on and hold so it wont be bleeding anymore.
WOOD DCL:"shape of the wood" fs:"COFFIN" 	Put person down and there is a wood coffin.
MOTHER SHOULD NOT BUY THAT:i CAR part:indef 	Mother should not buy that car!
LOOK KNOW IX-1p NEVER TAKE DRUG IX-1p #SO part:indef 	He know that I would never take drug.
HOW CAN IX-3p:i GUESS THAT 	How can they guess that?
SEE IX-3p:i PERSON HITCH-HIKE 	I saw a person hitchhiking while I was driving.
IX-1p fs-PEN PAPER WRITE STILL NOT UNDERSTAND part:indef SAME part:indef SAME IN HOW BAD IN IX-loc:i part:indef ns-LA part:indef 	I asked for pen and paper to write, but they still don't understand me.  Thats how bad service it is in LA!
THAT DRAMA INVOLVE BOTH DEAF HEARING CHARACTER+ 	involves both Deaf and hearing characters.
BORN TWO (1h)CHILDREN 	They had two children.
TWO PIG LEAVE (2h)CL:3"sitting" LOOK-AROUND 	So, there are only two pigs left, they were sitting and looking around.
BUT ns-CALIFORNIA FARM SYSTEM IX-3p MORE SAME OUTSIDE IX-3p INSIDE fs-TOO HOT 	California's farm system is more outside because it is too hot to crop in the state.
part:indef SOMETHING/ONE part:indef WOMAN ARRIVE HERE 	I don't know.  Some woman arrived here.
part:indef IX-3p:i DECIDE WAIVE BECAUSE THINK FUNNY 	He decided to waive us because he thought it was funny.
fs-JOHN CAN #GO CAN 	John can go, he can.
BOOK FUTURE GIFT:j STUDENT 	The teacher will give the book to a student.
IX-1p CL:3"sitting on"++ CL:C"riding on the vehicle" ARRIVE ONE RIVER 	We went in the bus and arrived to one river.
STUDENT POSS-3p:i MOTHER+ BUY CAR 	It's that student's mother that is buying a car.
LAST-WEEK fs-JOHN GO NEW-YORK 	Last week, John went to New York.
IX-1p GO CLASS ON POSS-1p SWIM++ IX-1p SHORT TANK KNOW BASKETBALL TANK SAME 	I went to the class, I swam with short and tank top on, you know, basketball tank top, its same idea.
SO IX-1p fs-ROPE CL:S"fixing the object" CL:S"pulling the object" CL:S"fixing the object" PERFECT ON fs-HOHOLE CL:S"fixing the object" 	I fixed the rope to attach between the holes.
IX-1p POSS-1p GRANDFATHER IX-3p:i BIG BOXING #FAN KNOW fs-BOXING BOXING UNKNOWN 	My grandfather was big boxing fan.
STUDENT IX-3p:i (Y)NOT-LIKE READ BUT IX-3p:i LIKE EAT CHOCOLATE 	The student doesn't like to read but he/she likes to eat chocolate.
LOOK DECIDE CL:2"four legs walking" ACROSS 	Looked and then decided to walk across.
IX-1p EXPERT SIGN CL:S"signing" 	"I am an expert in sign language." a cop signed. Then he started signing.
PIG IX-loc:i CL:5"scaring" REFUSE CLOSE ICL:S"fixing" LOCK CHAIR WAIT 	A pig refused and closed the door.  The door is locked, pig sat on the chair and waiting. 
IX-1p FALL part:indef IX-1p STAND-UP 	I fell! Then I got up.
CORNER HIT part:indef REALLY part:indef IX-3p:i "wow" 	My hand got hit and, wow!
MOST IX-1p-arc SIT ON fs-SPA 	Most of us were sitting in SPA.
IX-1p CALL COP CUT fs-ROPE 	I called the cop to come and cut the rope.
